Sr No.,Title,Brand,MRP,Price,Count of Ratings,Count of Reviews,Average Rating score,Product URL,Image URL
18,Aiwa Magnifiq 139 cm (55 inch) Ultra HD 4K LED Smart Android TV with Dolby Vision Support (2022 model),Aiwa,99990.0,35990.0,0,0.0,N/A,/aiwa-magnifiq-139-cm-55-inch-ultra-hd-4k-led-smart-android-tv-with-dolby-vision-support-2022-model-/p/268768,https://media.croma.com/image/upload/v1675251815/Croma%20Assets/Entertainment/Television/Images/268768_axreyn.png
19,AIWA 108 cm (43 inch) 4K Ultra HD LED Android TV with Crystal Vision Technology,Aiwa,59990.0,27690.0,0,0.0,N/A,/aiwa-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-crystal-vision-technology/p/268766,https://media.croma.com/image/upload/v1675843654/Croma%20Assets/Entertainment/Television/Images/268766_wexdxt.png
20,Hisense Bezelless 139 cm (55 inch) LED 4K Ultra HD Google TV with Dolby Vision (2022 model),Hisense,59990.0,34999.0,0,0.0,N/A,/hisense-bezelless-139-cm-55-inch-led-4k-ultra-hd-google-tv-with-dolby-vision-2022-model-/p/267995,https://media.croma.com/image/upload/v1673604112/Croma%20Assets/Entertainment/Television/Images/267995_irdxax.png
21,Kodak Matrix 139 cm (55 inch) QLED 4K Ultra HD Google TV with DTS TruSurround Technology (2022 model),Kodak,59999.0,35999.0,0,0.0,N/A,/kodak-matrix-139-cm-55-inch-qled-4k-ultra-hd-google-tv-with-dts-trusurround-technology-2022-model-/p/267684,https://media.croma.com/image/upload/v1673191630/Croma%20Assets/Entertainment/Television/Images/267684_jthre9.png
22,Kodak Matrix 126 cm (50 inch) QLED 4K Ultra HD Google TV with DTS TruSurround Technology (2022 model),Kodak,49999.0,31999.0,0,0.0,N/A,/kodak-matrix-126-cm-50-inch-qled-4k-ultra-hd-google-tv-with-dts-trusurround-technology-2022-model-/p/267683,https://media.croma.com/image/upload/v1673191335/Croma%20Assets/Entertainment/Television/Images/267683_cvfk2r.png
23,SANSUI 140 cm (55 inch) 4K Ultra HD LED Android TV with Dolby Atmos (2021 model),Sansui,56790.0,32990.0,2,0.0,1.0,/sansui-140-cm-55-inch-4k-ultra-hd-led-android-tv-with-dolby-atmos-2021-model-/p/267415,https://media.croma.com/image/upload/v1672901529/Croma%20Assets/Entertainment/Television/Images/267415_nrlitn.png
24,SANSUI 127 cm (50 inch) 4K Ultra HD LED Android TV with Dolby Atmos,Sansui,56790.0,28499.0,0,0.0,N/A,/sansui-127-cm-50-inch-4k-ultra-hd-led-android-tv-with-dolby-atmos/p/267414,https://media.croma.com/image/upload/v1672898034/Croma%20Assets/Entertainment/Television/Images/267414_0_gyuvnb.png
25,SANSUI 109 cm (43 inch) 4K Ultra HD LED Android TV with Dolby Atmos (2022 model),Sansui,38990.0,24499.0,0,0.0,N/A,/sansui-109-cm-43-inch-4k-ultra-hd-led-android-tv-with-dolby-atmos-2022-model-/p/267413,https://media.croma.com/image/upload/v1672898098/Croma%20Assets/Entertainment/Television/Images/267413_0_cssd7v.png
26,Hisense 65A7H 165 cm (65 inch) LED 4K Ultra HD Google TV with Dolby Vision & Dolby Atmos (2022 model),Hisense,99990.0,51999.0,0,0.0,N/A,/hisense-65a7h-165-cm-65-inch-led-4k-ultra-hd-google-tv-with-dolby-vision-dolby-atmos-2022-model-/p/267239,https://media.croma.com/image/upload/v1672206633/Croma%20Assets/Entertainment/Television/Images/267239_yfwwdi.png
27,Hisense 55A7H 139 cm (55 inch) LED 4K Ultra HD Google TV with Dolby Vision & Dolby Atmos (2022 model),Hisense,69990.0,39999.0,0,0.0,N/A,/hisense-55a7h-139-cm-55-inch-led-4k-ultra-hd-google-tv-with-dolby-vision-dolby-atmos-2022-model-/p/267238,https://media.croma.com/image/upload/v1672206521/Croma%20Assets/Entertainment/Television/Images/267238_gnvhut.png
